Clean ID	Deliverable name	D1: Fin / AI configuration	D2: Platform & taxonomy	D3: Integration effort	D4: Gating / dependency risk	Total score	Estimated duration (weeks)	Final conclusions
CL-01	Multi-scheme Network Token & Account Updater expansion	1	1	1	1	4	2	Update existing NT/AU Fin procedures for new scheme-specific context (CB, Amex, Discover, JCB, Jaywan). KB update. New scheme data flows through existing NT/AU integration — no new integration. Condition: scheme-specific error codes must be provided by the product team before Fin procedures can be updated.
CL-02	Vault Customer Data & Reporting Suite	1	2	2	1	6	3	Update Fin procedure for vault reporting queries. New KB articles for the reporting dashboard. Agent Consultant will need new API endpoints to pull credential performance data — extension to existing Vault API with new reporting schema. Condition: Privacy must confirm what data Fin can surface before procedures are built.
CL-03	Forward API: routing & intelligence	1	1	1	0	3	2	Update Fin procedure for Forward API queries to cover push channels, routing responses, and fallback behaviour. KB update. New routing/response data flows through existing Forward API integration — no new integration.
CL-04	Standalone commercial: VAS monetisation, packaging & onboarding	1	2	1	1	5	3	Update Fin procedure for VAS pricing and self-serve onboarding queries. New KB articles for pricing tiers and onboarding flow. New pricing data flows through existing billing/CBA integration — no new integration. Condition: Finance must confirm pricing model documentation before Fin is updated.
CL-05	Platform/ISV multi-tenant + complex jurisdiction	2	2	2	2	8	6	New Fin procedure for data-residency and jurisdiction-specific queries. New taxonomy node and Zendesk routing for jurisdiction-specific cases. Extension to existing Platform API for jurisdiction configuration and residency metadata. Condition: Privacy and Compliance must confirm which jurisdictions are locked and what data Fin can surface — primary gating dependency.
CL-06	BINBASE replacement (direct scheme BIN data integrations)	0	0	0	0	0	1	No Care Product action required. Internal infrastructure change — BIN data quality improvement flows transparently through existing integration. No Fin procedure, taxonomy, or integration change needed.
CL-07	Agentic-ready Vault primitives	1	1	2	0	4	2	Update Fin procedure for vault queries to cover merchant-controlled NT provisioning modes. KB update. Extension to Vault API for SKU/inventory data — new data model in existing integration.
CL-08	Orchestration: platform readiness & data residency	1	1	0	1	3	2	Update Fin procedure for Orchestration availability queries during migration windows. KB update. No new integration — migration is infrastructure-only. Condition: India data segregation entity routing must be confirmed for Zendesk config before GA.
CL-09	Orchestration: routing, connectivity & PSP/APM library	2	2	2	0	6	3	New Fin procedure for Orchestration routing errors and PSP-specific failure diagnosis. New taxonomy sub-type under Technical Issue for Orchestration errors. Extension to Orchestration API for routing decision data and PSP library metadata.
CL-10	Orchestration: reconciliation, dashboards & alerting	2	2	2	0	6	3	New Fin procedure for multi-PSP reconciliation queries. New KB articles for the reconciliation dashboard. Extension to existing reconciliation/analytics API for multi-PSP data schema.
CL-11	Orchestration: Agentic layer (AI agents + MCP)	2	1	2	0	5	3	New Fin procedure for Orchestration MCP and AI agent queries — new territory with no existing analogue. KB update. Extension to Orchestration API for MCP/agent management endpoints.
CL-12	Orchestration: Marketplace/Payfac support & Payouts routing	2	2	2	2	8	6	New Fin procedure for Marketplace/Payfac and MoR payout routing queries. New taxonomy for MoR query type, Zendesk routing for Marketplace/Payfac segment. Extension to payout routing API for MoR structure and marketplace entity data. Condition: Legal must define Care's resolution authority for MoR queries before Fin procedures are built.
CONS-01	Braavos PCA + card issuing + top-up rails	3	3	3	3	12	20	Care Product effort for this deliverable is captured in CONS-02, which is explicitly scoped as the care stack build. CONS-01 triggers requirements across all four dimensions — entirely new Fin procedures, new B2C taxonomy, net-new integrations (PCA API, card issuing API, AFT/OB top-up rails), and regulatory framework dependencies (Consumer Duty, FCA e-money). Do not size these separately — treat as one combined effort with CONS-02.
CONS-02	Braavos consumer compliance, risk & care stack	3	3	3	3	12	20	This deliverable IS Care Product's primary build commitment for consumer. Requires: all 12 consumer issue category Fin procedures, full B2C taxonomy and Zendesk routing configuration, net-new integrations to KYC/IDV API, risk/fraud API, and disputes automation API. Consumer Duty and FCA regulatory framework are a hard gate — no Fin procedure can be built until the regulatory position is confirmed. Must begin Q3 2026. Care Product must be named co-owner from the outset.
CONS-03	Braavos money-out + multi-currency + P2P	2	2	3	2	9	8	New Fin procedures for CoP mismatch queries, FX account balance queries, and P2P transfer failure. New taxonomy sub-types within B2C section for FPS outbound and P2P. Net-new integrations: FPS outbound API, FX account API, and P2P transfer API — Fin has no current connection to any of these rails. Condition: must be scoped within the CONS-02 build. Treasury and Compliance must confirm CoP enforcement rules before Fin procedures are built.
CONS-04	Braavos rewards & engagement (cashback, PFM, budgeting)	2	2	3	1	8	6	New Fin procedures for cashback accrual/redemption queries, PFM budgeting queries, and bill-split failure. New taxonomy sub-types for rewards and cashback. Net-new integration to Rewards Engine API — cashback accrual data is in a new ledger with no existing Care connection. Include in CONS-02 care stack scope.
CONS-05	Braavos savings / yield product (BaaS via Clearbank)	2	2	2	2	8	6	New Fin procedure for yield/interest queries and FSCS disclosure handling. New KB articles for the yield product. Extension to CBA/account API for interest accrual data — new interest fields on existing account integration. Condition: Compliance must confirm Consumer Duty fair value obligations and FSCS disclosure requirements before Fin procedures are built.
CONS-06	Braavos merchant partnerships (CRM, incentives, co-branded card + Connect API)	2	2	3	1	8	6	New Fin procedures for merchant incentive credit queries, co-branded card issues, and Braavos Connect Pay failures. New taxonomy for merchant partnership query types. Net-new integration to Incentive Engine API — merchant incentive accrual data is in a new system. Condition: commercial escalation boundary between consumer Care and merchant account management must be defined before Fin is built.
CONS-07	RM distribution scale (express checkout, multi-PSP, C2P GA)	1	1	1	1	4	2	Update existing RM/C2P Fin procedure for multi-PSP recognition and Click-to-Pay GA context. KB update. New scheme data (Visa + MC C2P) flows through existing RM integration — no new integration. Condition: non-CKO acquiring escalation path must be defined so Fin knows where to route unresolvable acquiring-side queries.
CONS-08	RM payment-method expansion (Pay by bank SIP / cVRP / stablecoins)	2	2	3	3	10	8	New Fin procedures for cVRP mandate setup failure and stablecoin payment failure. New taxonomy for cVRP and stablecoin contact types. Net-new integrations: cVRP mandate API via Token.io and stablecoin wallet/on-chain API — both new for Care tooling. Condition: stablecoin regulatory framework is a hard gate — cVRP procedure can begin independently but stablecoin procedure cannot start until Compliance confirms the regulatory position.
CONS-09	RM user controls + Smart Card + Account Updater	1	1	1	0	3	2	Update RM Fin procedure for self-serve account recovery context. KB update. Smart Card and AU data flows through existing RM integration — no new integration.
CONS-10	RM Agentic credential + Frictionless Trust Score	2	2	3	3	10	8	New Fin procedures for agentic transaction disputes and delegation rule failure handling. New taxonomy sub-type for agent-executed transaction disputes. Net-new integrations: RM agentic credential API and Trust Score API — new systems for Care. Condition: Legal/Compliance must confirm the chargeback liability model for agent-executed transactions before Fin procedures can be built — primary gating dependency.
CONS-11	RM ↔ Braavos integration (cashback at checkout, unified Braavos app)	1	0	0	0	1	1	Minor Fin procedure update for unified app UX context. No new taxonomy, integration, or Zendesk config needed.
CONS-12	Flow APM + SDK parity (mobile + Flutter + web)	1	1	1	0	3	2	Update existing APM Fin procedures for newly-supported APMs. KB update. New APM data flows through existing APM integration — standard new-data-on-existing-integration pattern.
CONS-13	Flow enterprise readiness (use cases, UI customisation, multi-region, latency)	2	2	1	2	7	6	New Fin procedures for iGaming and marketplace Flow use cases — both have distinct contact profiles not currently in Fin. New taxonomy for iGaming-specific query types. New use case context flows through existing Flow integration — no new integration. Condition: Compliance sign-off on iGaming query handling is required before Fin procedures are built.
CONS-14	Flow consumer recognition + data → IA/Risk/Tenet (V2)	1	1	2	2	6	3	Update Fin to surface cross-merchant recognition context. KB update. Extension to existing Flow/RM integration for cross-merchant identity data — new identity schema in existing integration. Condition: Privacy must approve Fin's access to cross-merchant data before procedures are built.
CONS-15	Flow adaptive UX (adaptive pricing, merchant control V2, experimentation, performance dashboard)	1	1	1	1	4	2	Update Fin procedure for adaptive pricing / DCC queries. KB update. New DCC pricing data flows through existing Flow/payment API — no new integration. Condition: Finance DCC model documentation needed before Fin is updated.
