contact_id	contact_text_truncated	fin_case_type	fin_issue_type	fin_reason	correct_case_type	correct_issue_type	correct_reason	verdict	reason_match	gap_type	gap_description	recommended_fix
215560988879439	Dear Checkout, Please clarify why Network Token Update Fees are still being charged for the following channels: Agent Prov, Fragrance, Linzi, and Moose Knuckles.	Funds and fees	Billing & Fees	Fee Inquiry	Funds and fees	Billing & Fees	Fee inquiry	correct	yes	none		
215560989558375	Hi team, We would need to process two refunds and temporarily place settlements on the following sub-account on hold for one to several days	Funds and fees	Settlements	Delayed / Missing Settlement	Funds and fees	Settlements	Delayed / missing settlement	correct	yes	none		
215560988582896	Hello Team, I would like to request a report of all sub entities balances (UK and Luxemburg) as of today (May 18).	Data and analytics	Reporting	Custom Report Request	Data and analytics	Reporting	Custom report request	correct	yes	none		
215560990546649	Dear Checkout Support Team, Please provide the 8-digit BIN expansions for the following entries to ensure correct identification of the card types and issuers: - 454887: Associated with BARQ MADA	Card issuing	Card Management		General	Inquiries	Other	wrong	n/a	ambiguous_boundary	Contact asks for BIN expansion/issuer identification metadata; card-related terms ('BIN', 'card types', 'issuers') triggered Card Management. Card Management definition does not exclude BIN lookup or issuer identification inquiries that are merchant operational questions rather than issued-card actions.	Add to exclude_when on Issuing / Card Management: 'BIN lookup, BIN expansion, issuer identification, or card scheme/issuer metadata inquiries — these are general inquiries, not issued card lifecycle actions.' Add to include_when on General / Inquiries / Other: 'Requests for BIN ranges, issuer identification, scheme metadata, or card categorisation reference data.'
215560986038749	Hi Checkout team, As discussed with Dr. Hammad, We want tabby and tamara to be enabled in checkout.com for Zahrat production environment	Account management and access	Account changes	Account settings update	Account management and access	Account changes	Account settings update	correct	yes	none		
215560988518749	Hi @Ahmad Jabr, Thank you. Hi @Joelle Matar @Gilbert Hizon@Carla Doumit@Omar (tixity @Support@Joey Palomar Could you please confirm your availability for tomorrow at 3:00 PM Dubai time	Account management and access	Account changes	Account settings update	Non-merchant requests	Account changes	Account settings update	wrong	n/a	ambiguous_boundary	Contact is an internal Checkout staff email chain coordinating a call with a merchant with no merchant-initiated settings change request. Account Settings Update under Account Changes does not distinguish merchant-initiated configuration changes from internal/non-merchant coordination threads.	Add to disambiguation on Account Management & Access / Account Changes / Account Settings Update: 'Only use when the merchant explicitly requests a change to their own account settings. Internal Checkout staff coordination, migration logistics, or call scheduling threads with no merchant action requested belong to Non-merchant requests.'
215560990375788	Hello Team, I would like to request a report of all sub entities balances (UK and Luxemburg) as of yesterday, please. Apologies for requesting this again.	Data and analytics	Reporting	Report Not Generated/Missing	Data and analytics	Reporting	Custom report request	correct	no	none		
215560985986523	Hi Team, We have noticed that Tabby and Google Pay are currently enabled under checkout.com along with card payments and apple pay. Kindly disable Tabby and Google Pay.	Account management and access	Account changes	Account settings update	Account management and access	Account changes	Account settings update	correct	yes	none		
215560990274830	Hi team, We are currently working on implementing a recurring buy feature for digital gold/silver within the Sav app using Checkout for stored card-based recurring payments.	Accepting payments	Transaction status (non 3DS & Refunds)	SCA / Exemption Issue	General	Inquiries	Other	wrong	n/a	wrong_scope	Contact is a pre-integration list of design questions about recurring payments, tokens, 3DS, Apple Pay retries — not a live transaction failure. SCA / Exemption Issue reason matched on the keyword '3DS' instead of an actual authentication problem on a specific transaction.	Tighten include_when on Payments / Authentication (3DS) / SCA / Exemption Issue: 'A specific live or recent transaction failed or was challenged due to SCA/3DS, with payment ID or error reference.' Add to exclude_when: 'General questions about how 3DS, SCA, tokens, or recurring authentication work during integration design — route to General / Inquiries / Other.'
215560991854340	Dear Checkout Support Team, We are currently facing issues regarding our financial reconciliation reports for both our UAE and KSA entities	Data and analytics	Reporting	Report Not Generated/Missing	Data and analytics	Reporting	Report not generated / missing	correct	no	none		
215560987995737	Hi Team, It's not stuck on our side as I am editing the director per request via the CKO dashboard. The new info is not being saved via the CKO portal. How should I proceed?	Technical issue			Technical issue	Integration methods	Other	unclassified	n/a	missing_coverage	Contact describes the Checkout Dashboard failing to save edits to a director record — a UI/dashboard bug. Technical Issue has no Reason covering Dashboard UI bugs; Dashboard Error sits under Login & Access only, so the classifier left the Reason blank.	Add 'Dashboard Error' as a Reason under Technical Issue / Integration Methods OR broaden Account Management & Access / Login & Access / Dashboard Error include_when to cover any Checkout Dashboard UI failure (pages not saving, blank pages, broken buttons) regardless of whether login is involved.
215560985909627	Hello Team, We are reaching out to seek clarification regarding recent payment declines with the response code 412020 – Decline BIN. Historically, card or BIN blacklisting has been performed manually	Accepting payments	Fraud & Risk Controls	Trustlist & Decline List	Accepting payments	Fraud & Risk Controls	Trustlist & decline list	correct	yes	none		
215560987455748	Dear, We are not consistently receiving the cardholder name after successful checkout transactions. In some transactions, the cardholder name is received; in others it is missing.	Accepting payments	Transaction status (non 3DS & Refunds)		Technical issue	API Integration	Other	wrong	n/a	ambiguous_boundary	Contact reports cardholder name intermittently missing from successful transaction API responses — an API payload completeness issue, not a transaction status failure. Transaction Status include_when matches on 'transaction' keywords without distinguishing payment outcome problems from API response payload problems.	Add to exclude_when on Payments / Transaction Status: 'Issues about missing or inconsistent fields in the API response payload for successful transactions — route to Technical Issue / API Integration / Other.' Add to include_when on Technical Issue / API Integration / Other: 'Successful API responses missing expected fields (cardholder name, metadata, etc.) or inconsistent payload contents across transactions.'
215560989574910	Hi Team, I am writing to report a technical issue regarding an Apple Pay transaction. Our logs indicate that we received both success and error callbacks to the UI simultaneously.	Technical issue	Webhooks	Webhook setup	Technical issue	Webhooks	Signature verification or delivery failure	correct	no	none		
215560992397965	We received this email. Right now, we do not process any payouts from our account; the only way our balance would go negative would be for refunds. Were currently -2.87 USD in our account.	Funds and fees	Balances	Negative balance				unverifiable	n/a	n/a	Human ground truth not populated in Zendesk — unable to verify Fin classification.	Ensure Zendesk agents classify all tickets; untagged rows cannot contribute to QA.
215560991959650	Hi Team, We observed an inconsistency in the data returned by the checkout API while fetching payment details. For card verification, we are creating payment session with an amount of 0.	Technical issue	API Integration	API Error 4XX / Logic Error	Technical issue	API Integration	Other	correct	no	none		
215560991367474	Hi team, Are you able to provide a copy of Checkout.com latest AOC to support our PCI DSS audit please?	Compliance and audit	Compliance Evidence	PCI / AOC Request	Compliance and audit	Compliance Evidence	PCI / AOC request	correct	yes	none		
215560990367521	Hi Team, Kindly ask you to update us with the status of the following pending payments: pcefewni08 581.26 EUR LT	Payouts	Bank Payouts	Bank payout stuck in Pending or status Inquiry	Payouts	Bank Payouts	Bank payout stuck in pending or status inquiry	correct	yes	none		
215560988613702	Bonjour C la vidéo en PJ : je ne peux pas télécharger le transaction breakdown sur https://dashboard.checkout.com/funds/settlements/ La console indique des erreurs 404	Technical issue	API Integration	API Error 4XX / Logic Error	Funds and fees	Settlements	Other	wrong	n/a	ambiguous_boundary	Contact reports a 404 when downloading a settlement transaction breakdown from the Dashboard. The classifier latched onto the '404'/API error signal and routed to API Integration, but the user is a Dashboard user trying to reconcile settlements.	Add to disambiguation on Technical Issue / API Integration / API Error 4XX: 'Only applies when the merchant is making direct API calls in their own integration. Errors observed in the browser console while using the Checkout Dashboard belong to the relevant Dashboard functional area.' Add to include_when on Funds and Fees / Settlements / Reconciliation Issue: 'Failure to download or access settlement transaction breakdowns from the Dashboard, including 404s on the settlements page.'
215560985946699	Microsoft Teams meeting Join: https://teams.microsoft.com/meet/373044261360881 Meeting ID: 373 044 261 360 881	General		Spam / Duplicate / No action / Follow Ups	General	Inquiries	Spam / duplicate / no action / follow ups	unclassified	n/a	ambiguous_boundary	Fin selected the correct Reason (Spam / Duplicate / No action / Follow Ups) but left Issue Type blank. The Reason is not consistently bound to its parent Issue Type 'Inquiries' in the definition.	Set Issue Type = 'Inquiries' as a hard default whenever Reason is 'Spam / Duplicate / No action / Follow Ups'. Add to disambiguation on General: 'Reason Spam / Duplicate / No action / Follow Ups must always be paired with Issue Type Inquiries — never leave Issue Type blank.'
215560991163102	Hello Team & Vinay, We have card failures in Qatar region for Charles and keith website, request you to check quickly on this issue.	Accepting payments	Transaction status (non 3DS & Refunds)	Declined / Failed Action	Accepting payments	Transaction status (non 3DS & Refunds)	Declined / failed action	correct	yes	none		
215560990177975	Please see attached. -- Matt Lueders General Counsel US Service Animals (858) 333-7910 mlueders@usserviceanimals.org				Account management and access	Account changes	Terminations	unclassified	n/a	missing_coverage	Contact has no body text — the request lives entirely in an attachment, leaving the classifier with no textual signal. Definitions do not instruct the classifier on how to handle attachment-only or signature-only emails, nor do they cue Terminations from sender context (General Counsel).	Add to include_when on Account Management & Access / Account Changes / Terminations: 'Emails from merchant legal counsel with minimal body text ("please see attached") and attachment cues, or signature blocks from General Counsel — treat as likely termination/closure request.' Add global classifier guidance: 'When body text is empty or only contains "see attached" plus a signature, infer intent from sender role and attachment cues rather than returning blank.'
215560985957214	Hi Checkout Support, We have received a formal Resolution of Claim letter from the cardholder's bank (Wells Fargo). The letter confirms the claim has been closed at the customer's request.	Accepting payments	Disputes/Chargebacks	Dispute status	Accepting payments	Disputes	Dispute status	wrong	n/a	ambiguous_boundary	Fin labelled the Issue Type as 'Disputes/Chargebacks' but the canonical taxonomy label is 'Disputes'. The class name format used in the definitions does not match the taxonomy's canonical label, causing a string mismatch.	Standardise the Issue Type label to exactly 'Disputes' (matching the taxonomy canonical label). Update the class name from 'Disputes / Chargebacks' or 'Disputes/Chargebacks' to 'Disputes' and add to disambiguation: 'Canonical label is Disputes. Do not output Disputes/Chargebacks, Chargebacks, or any variant.'
215560988408447	Dear Checkout Team: Good day! Please check why there is an error when I fill the period to extract the report.	Data and analytics	Reporting	Report Not Generated/Missing	Data and analytics	Reporting	Report not generated / missing	correct	no	none		
215560991219438	Dear Team, Could you please confirm the time period within which a refund can be cancelled if it is mistakenly processed from our end?	Accepting payments	Refunds	Refund reversal	Accepting payments	Refunds	Refund reversal	correct	yes	none		
215560986593488	Hello, Could you please confirm whether EUR currency is currently configured for AMEX transactions on our account? If not, we would kindly request configuring EUR currency support for AMEX.	Account management and access	Account changes	Account settings update	Account management and access	Account changes	Account settings update	correct	yes	none		
215560986615819	Hi team Kindly ask you to provide a status update on the below query. djrx0b6bm0 pay_ydlerxqbuz4ydnfptuh7hr24tq	Payouts	Bank Payouts	Bank payout stuck in Pending or status Inquiry	Payouts	Bank Payouts	Bank payout stuck in pending or status inquiry	correct	yes	none		
215560988464672	Hi Team, I want to confirm that mobile payments (apple pay + gpay) are enabled for our KSA MIDs: Ripples, Golden and AWJ Silver/Mara East	Account management and access	Account changes	Account settings update	Account management and access	Account changes	Account settings update	correct	yes	none		
215560987878332	Hey team, we have a request from an Italian merchant who needs our online payment/POS details for local tax compliance (Agenzia delle Entrate). They specifically need the ID AQUIRER	Accepting payments			General	Inquiries	Other	unclassified	n/a	missing_coverage	Contact asks for the Acquirer ID / merchant identifiers needed for Italian tax authority (Agenzia delle Entrate) compliance reporting. No definition covers merchant requests for acquirer/identifier metadata for regulatory reporting; classifier defaulted to Accepting Payments on the word 'payment'.	Add to include_when on General / Inquiries / Other: 'Requests for Checkout's acquirer ID, BIN sponsor, merchant identifiers, or scheme IDs needed for local tax authority or regulatory reporting (e.g. Agenzia delle Entrate, fiscal portals).' Add to exclude_when on Payments (all Issue Types): 'Requests for acquirer/issuer/merchant identifier metadata for regulatory or tax compliance are not Payments issues.'
215560991186840	Dear Team, BitOasis has been in touch with YanGe Wang regarding new monitoring rules. She provided a walkthrough explaining we need to select Switch View - but the page goes blank with a loading sign 	Technical issue	API Integration	Idempotency / Timeout	Account management and access	Login & Access	Dashboard error	wrong	n/a	ambiguous_boundary	Contact describes the Checkout Dashboard hanging on a 'Switch View' action with a perpetual loading spinner and timeout. Fin matched on 'timeout' and routed to API Integration / Idempotency / Timeout, but the user is a Dashboard user, not an API integrator.	Add to exclude_when on Technical Issue / API Integration / Idempotency / Timeout: 'Dashboard UI loading, hanging, or timeout issues belong to Login & Access / Dashboard Error.' Add to include_when on Account Management & Access / Login & Access / Dashboard Error: 'Dashboard pages that hang on load, time out, go blank, or fail to render features such as Switch View, monitoring rules, or settings panels.'
215560985466820	Bonjour, nous avons rencontré un cas sur le casino BÉNODET. Une cliente a effectué 5 Payin de 25 euros via apple pay. Les 2 autres opérations n'apparaissent pas, bien que la cliente affirme qu'elles o	Accepting payments	Transaction status (non 3DS & Refunds)	Missing or Unrecognised Transaction	Accepting payments	Transaction status (non 3DS & Refunds)	Proof of payment (ARN, RNN, bulk)	correct	no	none		
