New Case Type,New Issue Type,New Reason,Old Case Type,Old Issue Type,Old Tag,Source
Payments in,Transaction status (non 3DS & refunds),Declined / failed action,Transactions | Transactions | Transactions,Authorization failed | Void failed | Capture failed,case_transactions_issue_authorization_failure | case_transactions_issue_unable_to_void_payment | case_transactions_issue_unable_to_capture_payment,Merged + Moved | Renamed + Moved
Payments in,Transaction status (non 3DS & refunds),Stuck in status / status enquiry,Transactions,Payment confirmation,case_transactions_issue_status_proof,Renamed + Moved
Payments in,Transaction status (non 3DS & refunds),Missing or unrecognised transaction,,,,New
Payments in,Transaction status (non 3DS & refunds),Customer charged twice,Transactions,Customer charged twice,case_transactions_issue_duplicate_transactions,Moved
Payments in,Transaction status (non 3DS & refunds),"Proof of payment (ARN, RNN, bulk)",Transactions,Proof of payment,case_transactions_issue_refund_proof_schemes,Renamed + Moved
Payments in,Transaction status (non 3DS & refunds),Failed but customer charged,Transactions,Customer charged after payment expired,case_transactions_issue_customer_charged_after_payment_expired,Renamed + Moved
Payments in,Refunds,Refund failed / manual refund,Transactions,Refund failed,case_transactions_issue_refund,Renamed + Moved
Payments in,Refunds,Refund proof,,,,New
Payments in,Refunds,Refund reversal,Transactions,Refund or payout reversal,case_transactions_issue_incorrect_refund,Renamed + Moved
Payments in,Refunds,Refund status enquiry,,,,New
Payments in,Authentication (3DS),3DS decline,3D Secure (3DS) issues | 3D Secure (3DS) issues | 3D Secure (3DS) issues,3DS authentication failed | 3DS Page not loading | 3DS integration,case_3ds_issue_response_code_20151_-_20156 | case_3ds_issue_page_not_loading | case_3ds_issue_sdk_integration,Moved to Payments in
Payments in,Authentication (3DS),Liability shift status,,,,New
Payments in,Authentication (3DS),SCA / exemption issue,3D Secure (3DS) issues | 3D Secure (3DS) issues,3DS exemptions | Unintended 3DS upgrade,case_3ds_issue_3ds_exemptions | case_3ds_issue_unintended_3ds_upgrade,Moved to Payments in
Payments in,Fraud & risk controls,Risk rules,Fraud detection | Fraud detection | Fraud detection,Risk strategy/ rules | Risk declines | Fraud Performance,case_fraud_issue_decline_list_risk_rules | case_fraud_issue_risk_declines | case_fraud_issue_fraud_performance,Moved to Payments in
Payments in,Fraud & risk controls,Trustlist & decline list,Fraud detection,Risk lists,case_fraud_issue_whitelist,Moved to Payments in
Payments in,Fraud & risk controls,AVS / CVV mismatch,,,,New
Payments in,Fraud & risk controls,Velocity limit reached,,,,New
Payments in,Disputes / chargebacks,Dispute status,Transactions,Disputes,case_transactions_issue_dispute,Renamed + Moved
Payments in,Disputes / chargebacks,Dispute adjustment,,,,New
Payments in,Disputes / chargebacks,Evidence help and submission,,,,New
Payments in,Performance,Acceptance rate issue / optimisation,Acceptance rate | Acceptance rate,Low Approval Rate | Intelligent Acceptance,case_acceptance_performance_low_approval_rate | case_acceptance_performance_intelligent_acceptance,Moved to Payments in
Payments in,Performance,All payments failing,Transactions,All payments failed,case_transactions_issue_all_transactions_failing,Moved
Payouts,Bank payouts,Declined / failed bank payout,Transactions,Payout pending or declined,case_transactions_issue_payout_pending_or_declined,Moved to new case type
Payouts,Bank payouts,Proof of bank payout,,,,New
Payouts,Bank payouts,Bank payout stuck in pending or status inquiry,,,,New
Payouts,Bank payouts,Bank payout returns,,,,New
Payouts,Card payouts,Card payout stuck in pending or status inquiry,,,,New
Payouts,Card payouts,Declined / failed card payout,,,,New
