product	product_category	case_type	issue_type	strength	rationale
Authentication	Authentication	Accepting payments	Authentication (3DS)	primary	Shares 3DS/SCA/liability-shift terms directly with Authentication (3DS) issue type
Bundled Authentication	Authentication	Accepting payments	Authentication (3DS)	possible	Passkey/Google SPA + 3DS config for SCA compliance overlaps SCA/exemption issue reason
Balances	Business Account	Funds and fees	Balances	primary	Shares "balance"/"discrepancy" terms directly with Balances issue type criteria
Corporate Cards	Business Account	Card issuing	Card management	primary	Card issuance/activation/spend-query language matches Card management's create/activate/spend-controls criteria
Settlements	Business Account	Funds and fees	Settlements	primary	Shares settlement delay/amount/timing terms directly with Settlements issue type
Fund Acceleration	Business Account	Funds and fees	Settlements	primary	Accelerated-payout timing mismatch (T+1 vs T+3) matches "Delayed/missing settlement" criteria
Dashboard	Dashboard	Account management and access	Login & access	primary	Shares login/access/permissions/Dashboard-error terms directly with Login & access issue type
Disputes	Disputes	Accepting payments	Disputes	primary	Shares chargeback/evidence-submission/dispute-status terms directly with Disputes issue type
Flow Web	Flow	Technical issue	Integration methods	primary	Exact "Flow"/"Frames" terminology match with Integration methods -> Flow/frames reason
Flow Android SDK	Flow / Mobile SDK	Technical issue	Integration methods	primary	Exact "SDK issue" terminology match with Integration methods -> SDK issue reason
Flow iOS SDK	Flow / Mobile SDK	Technical issue	Integration methods	primary	Exact "SDK issue" terminology match with Integration methods -> SDK issue reason
Flow React Native SDK	Flow / Mobile SDK	Technical issue	Integration methods	primary	Exact "SDK issue" terminology match with Integration methods -> SDK issue reason
Fraud Detection	Fraud Detection	Accepting payments	Fraud & risk controls	primary	Shares fraud rules, AVS mismatch, and risk lists terminology directly
Fraud Detection Pro	Fraud Detection	Accepting payments	Fraud & risk controls	primary	Shares layered risk rules and threshold-setting terminology with taxonomy's Risk rules criteria
Hosted Payment Page	Hosted Payment Page	Technical issue	Integration methods	primary	Taxonomy reason names "Hosted Payment Page" explicitly under Integration methods issue type
Address Document Verification	Identity Verification	Identity Verification	Verification and technical support	primary	Document rejection matches "understanding why a verification was rejected" criteria
AML Screening	Identity Verification	Identity Verification	Verification and technical support	primary	Screening hit dispute matches verification-rejection reason for a named individual
Business Screening	Identity Verification	Identity Verification	Verification and technical support	primary	Business-level screening hit dispute matches same verification-rejection reason logic
Business Verification	Identity Verification	Identity Verification	Verification and technical support	primary	KYB onboarding document types match Setup support's onboarding/document-type criteria
Face Authentication	Identity Verification	Identity Verification	Verification and technical support	primary	Face-match/biometric failure matches Technical & platform's document/API failure criteria
ID Document Verification	Identity Verification	Identity Verification	Verification and technical support	primary	Passport/document rejection matches verification-rejection reason terminology directly
Identity Verification	Identity Verification	Identity Verification	Verification and technical support	primary	General onboarding friction and false rejections match Verification inquiry criteria
Intelligent Acceptance	Intelligent Acceptance	Accepting payments	Performance	primary	Expected vs actual acceptance-rate uplift matches Performance's optimisation criteria directly
Intelligent Acceptance	Intelligent Acceptance	Accepting payments	Authentication (3DS)	primary	Shares explicit SCA/exemption management terminology with SCA exemption issue reason
Intelligent Acceptance	Intelligent Acceptance	Technical issue	Network Tokens	primary	Shares network token provisioning terminology with taxonomy's Provisioning reason directly
Notifications	Internal Products	Technical issue	Webhooks	primary	Shares webhook configuration/setup and missed-notification terminology with Webhooks issue type
Cards	Issuing	Card issuing	Card management	primary	Shares activate/suspend/revoke card terminology with Card management's create/activate and revoke reasons
Digital Wallets (Issuing)	Issuing	Card issuing	Issuing digital wallets	primary	Exact match: issued card Apple Pay/Google Pay provisioning failure terminology
