contact_id	contact_text_truncated	fin_case_type	fin_issue_type	fin_reason	correct_case_type	correct_issue_type	correct_reason	verdict	reason_match	gap_type	gap_description	recommended_fix
215560986006194	Hello Team, Would you please check and confirm if any changes are needed from our end? **Thanks** **Harfouch** OSN-Internal OSN-Internal **From:** Alzain Wael AlOmar AlzainAlOmar@nbk.com **Sent:** 13	Accepting payments	Other		General	Performance	Other	wrong	n/a	missing_coverage	Contact is a forwarded third-party email (NBK MPGS Hosted Checkout API v100 upgrade notice) with no Checkout.com transaction signal. Fin sees 'Payment Gateway', 'API upgrade', 'Hosted Checkout' and routes to Accepting payments, but no issue type definition covers third-party gateway notifications, so it falls back to Other.	Add include_when to General → Inquiries: 'forwarded third-party gateway notices (MPGS, NBK, KNET, Cybersource) requesting confirmation that no action is required by Checkout'. Add exclude_when to Accepting payments → Performance: 'third-party gateway upgrade or migration notices not affecting Checkout.com integration'.
215560986593488	Hello, Could you please confirm whether EUR currency is currently configured for AMEX transactions on our account? If it is not yet configured, we would kindly request configuring EUR currency support	Account management and access	Other		Account management and access	Account changes	Account settings update	wrong	n/a	ambiguous_boundary	Contact requests enabling EUR currency for AMEX on the account, citing error 'eur_currency_not_configured'. Fin sees a transaction ID and error code, which overlaps with API Integration and Transaction Status, so it cannot decide between issue types and defaults to Other.	Add include_when to Account management and access → Account changes → Account settings update: 'requests to enable/disable currencies, card schemes (AMEX, Visa), or payment methods on a MID, even when accompanied by transaction IDs or configuration error codes (e.g. *_not_configured)'. Add disambiguation: 'configuration error codes like eur_currency_not_configured indicate account setup, not API logic — route to Account changes, not API integration'.
215560985511517	Bonjour Nous avons configurer Apple Pay pour Frames via BPLAY (il y a longtemps) Nous passons à Flow via une webview, mais nous n'arrivons pas à utiliser Apple Pay J'ai bien vu la page https://www.che	Technical issue	Other		Technical issue	Test environment	Sandbox issue	wrong	n/a	ambiguous_boundary	Contact mentions Apple Pay, Frames, Flow, and sandbox UAT domains. Fin sees multiple integration method signals plus sandbox, so it cannot pick a single issue type and falls back to Other. Note the human label 'Test environment / Sandbox issue' is debatable — Integration Methods → Apple Pay also fits.	Add disambiguation to Technical issue → Test environment: 'when contact mentions sandbox/UAT domains AND a specific integration method, prefer Test environment → Sandbox issue if the blocker is environment-specific; prefer Integration methods if the issue would occur in production too'. Add keywords to Test environment: 'sandbox, UAT, api-uat, test domain, sandbox domains'.
215560986026360	Hi Checkout Team, We observed some transactions where the fraud score exceeded 60% in a few cases reaching 100% yet those transactions were still processed. Can you check and advise why these were pro	Accepting payments	Other		Accepting payments	Fraud & risk controls	Risk rules	wrong	n/a	missing_coverage	Contact asks why high fraud-score transactions (60–100%) were still processed and who bears chargeback liability. Fin has no clear definition for fraud score or risk rule behaviour questions, so it routes to Accepting payments but cannot map to a specific issue type.	Add include_when to Accepting payments → Fraud & risk controls → Risk rules: 'questions about fraud score thresholds, why high-risk transactions were approved/declined, risk rule behaviour, or liability after risk scoring'. Add keywords: 'fraud score, risk score, risk rules, liability, chargeback liability'.
215560988464672	Hi Team, I want to confirm that mobile payments (apple pay + gpay) are enabled for our KSA MIDs: Ripples, Golden and AWJ Silver/Mara East Thanks, Anna **![-](https://support.checkout.com/attachments/t	Account management and access	Other		Account management and access	Account changes	Account settings update	wrong	n/a	missing_coverage	Contact asks to confirm Apple Pay and Google Pay are enabled on specific KSA MIDs. Fin sees 'Apple Pay / Google Pay' and treats it as Integration Methods, but the request is an account configuration confirmation, so it falls back to Other.	Add include_when to Account management and access → Account changes → Account settings update: 'requests to confirm, enable, or disable payment methods (Apple Pay, Google Pay, Tabby, Tamara, AMEX) on specific MIDs'. Add disambiguation: 'enable/disable/confirm payment method on MID = Account changes, NOT Integration methods. Integration methods covers technical implementation issues only.'
215560987995737	Hi Team, It's not stuck on our side as I am editing the director per request via the CKO dashboard. The new info is not being saved via the CKO portal. How should I proceed? I am marking with " V" the	Technical issue	Other		Technical issue	Integration methods	Other	wrong	n/a	wrong_scope	Contact describes a Dashboard UI bug where director information is not saved. Fin correctly identifies Technical issue but no issue type fits cleanly — Integration Methods covers Flow/Frames/SDK/plugins, not Dashboard UI bugs. The human label 'Integration methods' is itself questionable; this is closer to Login & Access → Dashboard Error.	Add include_when to Account management and access → Login & access → Dashboard Error: 'Dashboard UI bugs including save failures, missing data, or workflow errors in the merchant dashboard (e.g. KYC director edits not saving)'. Add exclude_when to Technical issue → Integration methods: 'Dashboard UI bugs unrelated to checkout flow integration — route to Login & access → Dashboard Error'. Flag this contact's human label for review.
215560985466820	Bonjour, nous avons rencontré un cas sur le casino BÉNODET. Une cliente a effectué 5 Payin de 25 euros via apple pay en date du 02/05/2025, qui ont été pris en compte, Cependant la cliente indique que	Accepting payments	Other		Accepting payments	Transaction status (non 3DS & refunds)	Proof of payment (ARN, RNN, bulk)	wrong	n/a	missing_coverage	Contact reports a cardholder claims 2 Apple Pay payments were debited but Checkout shows no record. Fin sees Apple Pay and payment confusion but has no clear definition mapping this to Transaction Status → Proof of payment.	Add include_when to Accepting payments → Transaction status → Proof of payment (ARN, RNN, bulk): 'cardholder claims funds debited but transaction is missing from Checkout records, or merchant needs ARN/RNN to trace payments visible only on bank statement'. Add keywords: 'debited, missing transaction, not found, ARN, banking proof, cardholder bank statement'.
215560988582896	Hello Team, I would like to request a report of all **sub entities balances (UK and Luxemburg)** as of today (May 18). Thank you in advance, Best, Marcela Pildus Bento Payments Operation Manager guest	Data and analytics	Other		Data and analytics	Reporting	Custom report request	wrong	n/a	missing_coverage	Contact requests a custom balance report across multiple sub-entities (UK and Luxembourg). Fin identifies Data and analytics but has no specific definition mapping ad-hoc multi-entity balance/data requests to Reporting → Custom report request.	Add include_when to Data and analytics → Reporting → Custom report request: 'ad-hoc data extracts not available in standard dashboard reports, including multi-entity rollups, point-in-time balance snapshots, or bespoke aggregations'. Add keywords: 'request a report of, sub entities, as of today, point-in-time, custom extract, ad-hoc report'.
215560987878332	Hey team, we have a request from an Italian merchant who needs our online payment/POS details for local tax compliance (Agenzia delle Entrate). They specifically need the ID AQUIRER to link our servic	Accepting payments	Other		General	Inquiries	Other	wrong	n/a	missing_coverage	Contact asks for the acquirer ID for Italian tax compliance (Agenzia delle Entrate). Fin sees 'payment' and 'POS' and routes to Accepting payments, but this is a general info inquiry with no transaction context, so no issue type fits.	Add include_when to General → Inquiries: 'requests for static reference information (acquirer ID, BIN, scheme identifiers, regulatory IDs) for tax, compliance, or registration purposes'. Add exclude_when to Accepting payments → Performance: 'requests for static configuration info (acquirer ID, MID identifiers) — route to General → Inquiries'.
215560988613702	Bonjour C la vidéo en PJ : je ne peux pas télécharger le transaction breakdown sur https://dashboard.checkout.com/funds/settlements/pay_iumdppmwfy6vhcgp75xl7f3amq Cela indique bien "Donwload started",	Technical issue	Other		Funds and fees	Settlements	Other	wrong	n/a	ambiguous_boundary	Contact describes a 404 error downloading a settlement transaction breakdown from the dashboard. Fin sees '404 console error' and routes to Technical issue, missing that the underlying domain is Settlements. No definition links dashboard download failures of settlement files to Funds and fees → Settlements.	Add disambiguation to Funds and fees → Settlements: 'dashboard errors (404, download failure) when accessing settlement reports, transaction breakdowns, or reconciliation files belong here, not Technical issue'. Add include_when: 'failures downloading settlement transaction breakdown or reconciliation files from dashboard'.
