Level 1: Case Type,Case type Definition,Case type Definition - Old,Level 2: Issue Type,Issue type Definition - Old,issue Type Definition,Level 3: Reason,Reason Definition - Old,Reason Definition
PAYMENTS (IN),"**Definition:** Refers to the technical lifecycle of customer-initiated transactions (processing, authorization, capture/void, refunds/reversals, disputes) for goods and services. Do NOT select this for requests to enable new payment methods, configuration of processing channels, or update billing/statement descriptors — use ACCOUNT MANAGEMENT instead.
 

 **Includes:**
 * Transaction Status: declined/failed actions, stuck statuses, missing transactions, duplicate charges, proof of payment (ARN).
 * Refunds: failed refunds, refund proof, refund reversals.
 * Authentication (3DS): 3DS declines/drop-off, SCA/exemptions, liability shift questions.
 * Fraud & Risk Controls: risk blocks/rules, allowlist/blocklist changes, AVS/CVV mismatch, velocity limits.
 * Disputes/Chargebacks: dispute lifecycle/status, evidence submission/help.
 * Performance: acceptance rate drops, multiple payment failures.
 

 **Key Distinctions:**
 * Decline Codes: Codes that look like 20XXX / 30XXX / 40XXX (e.g., ""declined with code 20154"", ""risk blocked 42101"") belong here.
 * Lifecycle vs Config: If the merchant is reporting the lifecycle outcome of a transaction (declines, stuck status, missing transaction, refund failure), select this.
 * Payment Ops: If the symptom is payment outcomes without integration failures (declines, 3DS failures, chargebacks, refund failures), select this.
 * Refund Execution: If the question is about refund execution/status/failure itself, select this.","Refers to the lifecycle of transactions initiated by customers to the merchant. This includes the processing, authorization, and reversal of funds for goods or services.",Transaction status (non 3DS & Refunds),Queries about the status of a customer payment to the merchant,"Refers to the status, outcome, or root cause of failure for specific payment attempts or individual customers. Select this for ""Why did this fail?"" or ""Where is the money?"" queries regarding single or specific groups of transactions. Do NOT select this for 3DS/Authentication issues (use Authentication (3DS) issue type) or refund-related queries (use Refunds issue type).",Declined / Failed Action,IF a customer payment was explicitly rejected with a response code by a bank or scheme THEN select this.,"IF a customer payment was explicitly rejected with a response code by a bank or scheme, OR if the merchant requests a root cause analysis for specific declined transactions, error codes, or failures related to a single customer/card THEN select this.
"
PAYMENTS (IN),"**Definition:** Refers to the technical lifecycle of customer-initiated transactions (processing, authorization, capture/void, refunds/reversals, disputes) for goods and services. Do NOT select this for requests to enable new payment methods, configuration of processing channels, or update billing/statement descriptors — use ACCOUNT MANAGEMENT instead.
 

 **Includes:**
 * Transaction Status: declined/failed actions, stuck statuses, missing transactions, duplicate charges, proof of payment (ARN).
 * Refunds: failed refunds, refund proof, refund reversals.
 * Authentication (3DS): 3DS declines/drop-off, SCA/exemptions, liability shift questions.
 * Fraud & Risk Controls: risk blocks/rules, allowlist/blocklist changes, AVS/CVV mismatch, velocity limits.
 * Disputes/Chargebacks: dispute lifecycle/status, evidence submission/help.
 * Performance: acceptance rate drops, multiple payment failures.
 

 **Key Distinctions:**
 * Decline Codes: Codes that look like 20XXX / 30XXX / 40XXX (e.g., ""declined with code 20154"", ""risk blocked 42101"") belong here.
 * Lifecycle vs Config: If the merchant is reporting the lifecycle outcome of a transaction (declines, stuck status, missing transaction, refund failure), select this.
 * Payment Ops: If the symptom is payment outcomes without integration failures (declines, 3DS failures, chargebacks, refund failures), select this.
 * Refund Execution: If the question is about refund execution/status/failure itself, select this.","Refers to the lifecycle of transactions initiated by customers to the merchant. This includes the processing, authorization, and reversal of funds for goods or services.",Transaction status (non 3DS & Refunds),Queries about the status of a customer payment to the merchant,"Refers to the status, outcome, or root cause of failure for specific payment attempts or individual customers. Select this for ""Why did this fail?"" or ""Where is the money?"" queries regarding single or specific groups of transactions. Do NOT select this for 3DS/Authentication issues (use Authentication (3DS) issue type) or refund-related queries (use Refunds issue type).",Stuck in status / Status Enquiry,IF a payment is in an intermediate payment state (e.g. Authorized or Captured) THEN select this.,"IF a merchant reports a payment stuck in an intermediate payment state (e.g. Authorized or Captured), requests confirmation of a current status OR questions the root cause and processing logic behind a specific transaction outcome (e.g. unexpected voids or approvals) THEN select this."
PAYMENTS (IN),"**Definition:** Refers to the technical lifecycle of customer-initiated transactions (processing, authorization, capture/void, refunds/reversals, disputes) for goods and services. Do NOT select this for requests to enable new payment methods, configuration of processing channels, or update billing/statement descriptors — use ACCOUNT MANAGEMENT instead.
 

 **Includes:**
 * Transaction Status: declined/failed actions, stuck statuses, missing transactions, duplicate charges, proof of payment (ARN).
 * Refunds: failed refunds, refund proof, refund reversals.
 * Authentication (3DS): 3DS declines/drop-off, SCA/exemptions, liability shift questions.
 * Fraud & Risk Controls: risk blocks/rules, allowlist/blocklist changes, AVS/CVV mismatch, velocity limits.
 * Disputes/Chargebacks: dispute lifecycle/status, evidence submission/help.
 * Performance: acceptance rate drops, multiple payment failures.
 

 **Key Distinctions:**
 * Decline Codes: Codes that look like 20XXX / 30XXX / 40XXX (e.g., ""declined with code 20154"", ""risk blocked 42101"") belong here.
 * Lifecycle vs Config: If the merchant is reporting the lifecycle outcome of a transaction (declines, stuck status, missing transaction, refund failure), select this.
 * Payment Ops: If the symptom is payment outcomes without integration failures (declines, 3DS failures, chargebacks, refund failures), select this.
 * Refund Execution: If the question is about refund execution/status/failure itself, select this.","Refers to the lifecycle of transactions initiated by customers to the merchant. This includes the processing, authorization, and reversal of funds for goods or services.",Transaction status (non 3DS & Refunds),Queries about the status of a customer payment to the merchant,"Refers to the status, outcome, or root cause of failure for specific payment attempts or individual customers. Select this for ""Why did this fail?"" or ""Where is the money?"" queries regarding single or specific groups of transactions. Do NOT select this for 3DS/Authentication issues (use Authentication (3DS) issue type) or refund-related queries (use Refunds issue type).",Missing or Unrecognised Transaction,IF a merchant claims a transaction occurred but cannot find it in the portal/logs THEN select this.,IF a merchant claims a transaction occurred but cannot find it in the portal/logs OR asks for a general investigation where there is ambiguity about the transaction or its' status THEN select this.
PAYMENTS (IN),"**Definition:** Refers to the technical lifecycle of customer-initiated transactions (processing, authorization, capture/void, refunds/reversals, disputes) for goods and services. Do NOT select this for requests to enable new payment methods, configuration of processing channels, or update billing/statement descriptors — use ACCOUNT MANAGEMENT instead.
 

 **Includes:**
 * Transaction Status: declined/failed actions, stuck statuses, missing transactions, duplicate charges, proof of payment (ARN).
 * Refunds: failed refunds, refund proof, refund reversals.
 * Authentication (3DS): 3DS declines/drop-off, SCA/exemptions, liability shift questions.
 * Fraud & Risk Controls: risk blocks/rules, allowlist/blocklist changes, AVS/CVV mismatch, velocity limits.
 * Disputes/Chargebacks: dispute lifecycle/status, evidence submission/help.
 * Performance: acceptance rate drops, multiple payment failures.
 

 **Key Distinctions:**
 * Decline Codes: Codes that look like 20XXX / 30XXX / 40XXX (e.g., ""declined with code 20154"", ""risk blocked 42101"") belong here.
 * Lifecycle vs Config: If the merchant is reporting the lifecycle outcome of a transaction (declines, stuck status, missing transaction, refund failure), select this.
 * Payment Ops: If the symptom is payment outcomes without integration failures (declines, 3DS failures, chargebacks, refund failures), select this.
 * Refund Execution: If the question is about refund execution/status/failure itself, select this.","Refers to the lifecycle of transactions initiated by customers to the merchant. This includes the processing, authorization, and reversal of funds for goods or services.",Transaction status (non 3DS & Refunds),Queries about the status of a customer payment to the merchant,"Refers to the status, outcome, or root cause of failure for specific payment attempts or individual customers. Select this for ""Why did this fail?"" or ""Where is the money?"" queries regarding single or specific groups of transactions. Do NOT select this for 3DS/Authentication issues (use Authentication (3DS) issue type) or refund-related queries (use Refunds issue type).",Customer charged twice,IF merchant reports a duplicate charge THEN select this.,IF merchant reports a duplicate charge THEN select this.
PAYMENTS (IN),"**Definition:** Refers to the technical lifecycle of customer-initiated transactions (processing, authorization, capture/void, refunds/reversals, disputes) for goods and services. Do NOT select this for requests to enable new payment methods, configuration of processing channels, or update billing/statement descriptors — use ACCOUNT MANAGEMENT instead.
 

 **Includes:**
 * Transaction Status: declined/failed actions, stuck statuses, missing transactions, duplicate charges, proof of payment (ARN).
 * Refunds: failed refunds, refund proof, refund reversals.
 * Authentication (3DS): 3DS declines/drop-off, SCA/exemptions, liability shift questions.
 * Fraud & Risk Controls: risk blocks/rules, allowlist/blocklist changes, AVS/CVV mismatch, velocity limits.
 * Disputes/Chargebacks: dispute lifecycle/status, evidence submission/help.
 * Performance: acceptance rate drops, multiple payment failures.
 

 **Key Distinctions:**
 * Decline Codes: Codes that look like 20XXX / 30XXX / 40XXX (e.g., ""declined with code 20154"", ""risk blocked 42101"") belong here.
 * Lifecycle vs Config: If the merchant is reporting the lifecycle outcome of a transaction (declines, stuck status, missing transaction, refund failure), select this.
 * Payment Ops: If the symptom is payment outcomes without integration failures (declines, 3DS failures, chargebacks, refund failures), select this.
 * Refund Execution: If the question is about refund execution/status/failure itself, select this.","Refers to the lifecycle of transactions initiated by customers to the merchant. This includes the processing, authorization, and reversal of funds for goods or services.",Transaction status (non 3DS & Refunds),Queries about the status of a customer payment to the merchant,"Refers to the status, outcome, or root cause of failure for specific payment attempts or individual customers. Select this for ""Why did this fail?"" or ""Where is the money?"" queries regarding single or specific groups of transactions. Do NOT select this for 3DS/Authentication issues (use Authentication (3DS) issue type) or refund-related queries (use Refunds issue type).","Proof of payment (ARN, RNN, Bulk)",IF merchant needs a confirmation or Acquirer Reference Number to give to a customer THEN select this.,"IF a merchant requests specific transaction identifiers (e.g., ARN, RRN) to provide to a customer, OR requests bulk transaction metadata/logs THEN select this."
PAYMENTS (IN),"**Definition:** Refers to the technical lifecycle of customer-initiated transactions (processing, authorization, capture/void, refunds/reversals, disputes) for goods and services. Do NOT select this for requests to enable new payment methods, configuration of processing channels, or update billing/statement descriptors — use ACCOUNT MANAGEMENT instead.
 

 **Includes:**
 * Transaction Status: declined/failed actions, stuck statuses, missing transactions, duplicate charges, proof of payment (ARN).
 * Refunds: failed refunds, refund proof, refund reversals.
 * Authentication (3DS): 3DS declines/drop-off, SCA/exemptions, liability shift questions.
 * Fraud & Risk Controls: risk blocks/rules, allowlist/blocklist changes, AVS/CVV mismatch, velocity limits.
 * Disputes/Chargebacks: dispute lifecycle/status, evidence submission/help.
 * Performance: acceptance rate drops, multiple payment failures.
 

 **Key Distinctions:**
 * Decline Codes: Codes that look like 20XXX / 30XXX / 40XXX (e.g., ""declined with code 20154"", ""risk blocked 42101"") belong here.
 * Lifecycle vs Config: If the merchant is reporting the lifecycle outcome of a transaction (declines, stuck status, missing transaction, refund failure), select this.
 * Payment Ops: If the symptom is payment outcomes without integration failures (declines, 3DS failures, chargebacks, refund failures), select this.
 * Refund Execution: If the question is about refund execution/status/failure itself, select this.","Refers to the lifecycle of transactions initiated by customers to the merchant. This includes the processing, authorization, and reversal of funds for goods or services.",Transaction status (non 3DS & Refunds),Queries about the status of a customer payment to the merchant,"Refers to the status, outcome, or root cause of failure for specific payment attempts or individual customers. Select this for ""Why did this fail?"" or ""Where is the money?"" queries regarding single or specific groups of transactions. Do NOT select this for 3DS/Authentication issues (use Authentication (3DS) issue type) or refund-related queries (use Refunds issue type).",Failed but customer charged,If merchant says their customer was charged but payment declined then select this,If merchant says their customer was charged but payment declined then select this
PAYMENTS (IN),"**Definition:** Refers to the technical lifecycle of customer-initiated transactions (processing, authorization, capture/void, refunds/reversals, disputes) for goods and services. Do NOT select this for requests to enable new payment methods, configuration of processing channels, or update billing/statement descriptors — use ACCOUNT MANAGEMENT instead.
 

 **Includes:**
 * Transaction Status: declined/failed actions, stuck statuses, missing transactions, duplicate charges, proof of payment (ARN).
 * Refunds: failed refunds, refund proof, refund reversals.
 * Authentication (3DS): 3DS declines/drop-off, SCA/exemptions, liability shift questions.
 * Fraud & Risk Controls: risk blocks/rules, allowlist/blocklist changes, AVS/CVV mismatch, velocity limits.
 * Disputes/Chargebacks: dispute lifecycle/status, evidence submission/help.
 * Performance: acceptance rate drops, multiple payment failures.
 

 **Key Distinctions:**
 * Decline Codes: Codes that look like 20XXX / 30XXX / 40XXX (e.g., ""declined with code 20154"", ""risk blocked 42101"") belong here.
 * Lifecycle vs Config: If the merchant is reporting the lifecycle outcome of a transaction (declines, stuck status, missing transaction, refund failure), select this.
 * Payment Ops: If the symptom is payment outcomes without integration failures (declines, 3DS failures, chargebacks, refund failures), select this.
 * Refund Execution: If the question is about refund execution/status/failure itself, select this.","Refers to the lifecycle of transactions initiated by customers to the merchant. This includes the processing, authorization, and reversal of funds for goods or services.",Refunds,Queries about refunds,Queries about refunds,Refund failed/Manual Refund,IF an attempt to return funds to a customer resulted in an decline message or requires manual refund THEN select this.,"IF an attempt to return funds results in a decline message or the merchant is unable to process the refund self-service due to technical failures (e.g., failed voids), scheme rules (e.g., exceeded time limits/MADA window), or acquirer constraints. Also select this in cases whenever the merchant explicitly requests a manual refund or asks the support team to intervene to finalize the return."
PAYMENTS (IN),"**Definition:** Refers to the technical lifecycle of customer-initiated transactions (processing, authorization, capture/void, refunds/reversals, disputes) for goods and services. Do NOT select this for requests to enable new payment methods, configuration of processing channels, or update billing/statement descriptors — use ACCOUNT MANAGEMENT instead.
 

 **Includes:**
 * Transaction Status: declined/failed actions, stuck statuses, missing transactions, duplicate charges, proof of payment (ARN).
 * Refunds: failed refunds, refund proof, refund reversals.
 * Authentication (3DS): 3DS declines/drop-off, SCA/exemptions, liability shift questions.
 * Fraud & Risk Controls: risk blocks/rules, allowlist/blocklist changes, AVS/CVV mismatch, velocity limits.
 * Disputes/Chargebacks: dispute lifecycle/status, evidence submission/help.
 * Performance: acceptance rate drops, multiple payment failures.
 

 **Key Distinctions:**
 * Decline Codes: Codes that look like 20XXX / 30XXX / 40XXX (e.g., ""declined with code 20154"", ""risk blocked 42101"") belong here.
 * Lifecycle vs Config: If the merchant is reporting the lifecycle outcome of a transaction (declines, stuck status, missing transaction, refund failure), select this.
 * Payment Ops: If the symptom is payment outcomes without integration failures (declines, 3DS failures, chargebacks, refund failures), select this.
 * Refund Execution: If the question is about refund execution/status/failure itself, select this.","Refers to the lifecycle of transactions initiated by customers to the merchant. This includes the processing, authorization, and reversal of funds for goods or services.",Refunds,Queries about refunds,Queries about refunds,Refund proof,IF a merchant needs documentation to prove a refund was processed to a customer THEN select this.,IF a merchant needs documentation to prove a refund was processed to a customer THEN select this.
PAYMENTS (IN),"**Definition:** Refers to the technical lifecycle of customer-initiated transactions (processing, authorization, capture/void, refunds/reversals, disputes) for goods and services. Do NOT select this for requests to enable new payment methods, configuration of processing channels, or update billing/statement descriptors — use ACCOUNT MANAGEMENT instead.
 

 **Includes:**
 * Transaction Status: declined/failed actions, stuck statuses, missing transactions, duplicate charges, proof of payment (ARN).
 * Refunds: failed refunds, refund proof, refund reversals.
 * Authentication (3DS): 3DS declines/drop-off, SCA/exemptions, liability shift questions.
 * Fraud & Risk Controls: risk blocks/rules, allowlist/blocklist changes, AVS/CVV mismatch, velocity limits.
 * Disputes/Chargebacks: dispute lifecycle/status, evidence submission/help.
 * Performance: acceptance rate drops, multiple payment failures.
 

 **Key Distinctions:**
 * Decline Codes: Codes that look like 20XXX / 30XXX / 40XXX (e.g., ""declined with code 20154"", ""risk blocked 42101"") belong here.
 * Lifecycle vs Config: If the merchant is reporting the lifecycle outcome of a transaction (declines, stuck status, missing transaction, refund failure), select this.
 * Payment Ops: If the symptom is payment outcomes without integration failures (declines, 3DS failures, chargebacks, refund failures), select this.
 * Refund Execution: If the question is about refund execution/status/failure itself, select this.","Refers to the lifecycle of transactions initiated by customers to the merchant. This includes the processing, authorization, and reversal of funds for goods or services.",Refunds,Queries about refunds,Queries about refunds,Refund reversal,IF a processed refund needs to be undone or was done in error THEN select this.,IF a processed refund needs to be undone or was done in error THEN select this.
PAYMENTS (IN),"**Definition:** Refers to the technical lifecycle of customer-initiated transactions (processing, authorization, capture/void, refunds/reversals, disputes) for goods and services. Do NOT select this for requests to enable new payment methods, configuration of processing channels, or update billing/statement descriptors — use ACCOUNT MANAGEMENT instead.
 

 **Includes:**
 * Transaction Status: declined/failed actions, stuck statuses, missing transactions, duplicate charges, proof of payment (ARN).
 * Refunds: failed refunds, refund proof, refund reversals.
 * Authentication (3DS): 3DS declines/drop-off, SCA/exemptions, liability shift questions.
 * Fraud & Risk Controls: risk blocks/rules, allowlist/blocklist changes, AVS/CVV mismatch, velocity limits.
 * Disputes/Chargebacks: dispute lifecycle/status, evidence submission/help.
 * Performance: acceptance rate drops, multiple payment failures.
 

 **Key Distinctions:**
 * Decline Codes: Codes that look like 20XXX / 30XXX / 40XXX (e.g., ""declined with code 20154"", ""risk blocked 42101"") belong here.
 * Lifecycle vs Config: If the merchant is reporting the lifecycle outcome of a transaction (declines, stuck status, missing transaction, refund failure), select this.
 * Payment Ops: If the symptom is payment outcomes without integration failures (declines, 3DS failures, chargebacks, refund failures), select this.
 * Refund Execution: If the question is about refund execution/status/failure itself, select this.","Refers to the lifecycle of transactions initiated by customers to the merchant. This includes the processing, authorization, and reversal of funds for goods or services.",Refunds,Queries about refunds,Queries about refunds,Refund status enquiry,IF a refund has been processed but not yet reached the customer then select this. ,"IF the merchant is inquiring about the current status of a refund (e.g., pending, declined, successful) or reporting a status discrepancy where the dashboard state does not match expectations. Select this for refunds stuck in 'Pending', investigations into why funds have not reached the customer, or general verification of a refund's lifecycle."
