endpoint_type,support_scenario,api_endpoint,method,key_fields_returned,fin_action,notes
Query,User account locked / suspended / password expired,GET /umt/users/{userId},GET,"status (summary: Account is locked / Account is active / Account is suspended / Password expired / Account not yet activated), is_federated","Look up user; check status summary field","Single endpoint covers all three diagnoses plus is_federated check. Summary field drives response selection."
Query,Permission check — requestor can manage users,GET /umt/clients/{clientId}/members/{requestorUserId},GET,"roles[], permissions[] (summary: Requestor can manage users / Requestor cannot manage users)","Check requestor has manage users permission before any action","Required before unlock, unsuspend, password reset, or activation email. Roles with manage users: Account owner, Admin, IAM admin."
Query,User permissions — what roles do they have,GET /umt/clients/{clientId}/members/{userId},GET,"roles[], permissions[] (summary: User has [role name] role: [capability description] / User has no role assigned)","Retrieve member record; inspect roles and permissions","Returns roles and permissions. Use roles reference table in responses doc to generate capability summary."
Query,User permissions — list all members,GET /umt/clients/{clientId}/members,GET,"user_id, roles, entity_segments per member","List all members; filter by role","Supports: roles (filter), q (search), SortBy, SortOrder, Skip, Limit."
Query,SSO status — client level,GET /api/clients/{clientId}/sso/status,GET,"enabled (boolean), enforce_sso_sign_in (boolean) (summary: SSO is enabled and required / SSO is enabled but optional / SSO is not enabled)","Check if SSO is on for the client","enforce_sso_sign_in=true means users must log in via SSO only."
Query,SSO status — user level (is federated),GET /umt/users/{userId},GET,"is_federated (boolean) (summary: User authenticates via SSO / User authenticates with Checkout.com login)","Check is_federated on the user record","Same call as account status lookup — no additional API call needed if already retrieved."
Query,SSO configuration detail,GET /api/clients/{clientId}/sso,GET,Full SSO config (with security:manage) or high-level summary,"Retrieve full SSO config","Response depth depends on caller permission. Fin will likely get summary only unless granted security:manage."
Query,User MFA status,GET /umt/users/self/mfa/authenticators,GET,"type (otp/webauthn/unknown), enrolled (boolean) per authenticator (summary: MFA enrolled: [type] / MFA not enrolled)","Check enrolled status per authenticator","Self-service endpoint — returns MFA for the calling user only."
Query,Get user's account administrator,n/a,n/a,n/a,Point to Dashboard — no API call,"Direct to Dashboard > Settings > Team. Users with Account owner / Admin / IAM admin role can manage users."
Action,Unlock user,POST /umt/users/{userId}/unlock,POST,n/a,Unlock a locked-out user,"Requires userId. Returns 204 on success. Confirm with requestor before executing."
Action,Unsuspend user,POST /umt/users/{userId}/unsuspend,POST,n/a,Unsuspend a suspended user,"Requires userId. Confirm with requestor before executing."
Action,Send password reset / new activation email,POST /umt/users/{userId}/activate,POST,n/a,Send password reset or activation email,"Used for both PASSWORD_EXPIRED and STAGED/PROVISIONED states. Returns 409 if already active — handle with already-active response."
Action,Reset user MFA,POST /umt/clients/{clientId}/members/{userId}/mfa/reset,POST,n/a,Reset MFA for a specific user,"Requires clientId + userId. Use when user has lost MFA device or needs to re-enrol."
Action,Update user roles / permissions,PUT /api/cat/clients/{clientId}/members/{userId},PUT,"roles[], entity_segments{}","Update member's roles or entity access","PutMemberRequest fields: roles[], entity_segments{}. entities[] is deprecated — use entity_segments."
