Field Name,Field Definition,Field Value,Value Definition,AI Summary
Payment ID,Unique identifier for the payment transaction (Base32 encoded Charge ID),,,The unique ID for this payment — use this to look up or reference the transaction.
Billing descriptor,Text that appears on the cardholder's bank statement identifying the merchant,,,The name the cardholder will see on their bank statement for this payment.
Processing channel,The channel or configuration used to process this payment,,,The merchant configuration used to route and process this payment.
Date created,Timestamp when the payment was created,,,When this payment was created in the Checkout.com system.
Status,The type of event recorded in the payment lifecycle,Authorization,The issuer has approved and ring-fenced the payment amount. Funds are not yet captured.,The payment was authorised — funds are held but not yet taken from the cardholder.
Status,The type of event recorded in the payment lifecycle,Capture,The merchant has requested the previously authorised funds to be settled. Can be full or partial.,The merchant has requested the funds — the cardholder will be charged.
Status,The type of event recorded in the payment lifecycle,Partial Capture,A capture for less than the originally authorised amount.,The merchant captured only part of the authorised amount — the remainder was released.
Status,The type of event recorded in the payment lifecycle,Refund,Funds are returned to the cardholder following a previous capture. Can be full or partial.,A refund was issued to the cardholder against a previous charge.
Status,The type of event recorded in the payment lifecycle,Void,The authorisation is cancelled before capture. Releases the ring-fenced funds.,The authorisation was cancelled before the merchant took the funds — the cardholder was not charged.
Status,The type of event recorded in the payment lifecycle,Card Verification,A zero-value authorisation used to verify card details without charging the cardholder.,The card was verified without any charge being made.
Status,The type of event recorded in the payment lifecycle,Payout,Funds pushed directly to a card (e.g. winnings or disbursements). Not linked to a prior payment.,Funds were sent to the cardholder's card — this is not a refund but a standalone payment out.
Status,The type of event recorded in the payment lifecycle,Return,Funds returned to the cardholder outside the standard refund flow.,Funds were returned to the cardholder outside the standard refund process.
Status,The type of event recorded in the payment lifecycle,Chargeback,A dispute-initiated reversal of a captured payment raised by the cardholder's bank.,The cardholder's bank has reversed this payment as part of a dispute.
Status,The type of event recorded in the payment lifecycle,Fraud Detection - Pre-auth - Accept,The fraud engine evaluated the transaction before authorisation and accepted it as low risk.,The fraud engine reviewed this payment before authorisation and passed it as low risk.
Status,The type of event recorded in the payment lifecycle,Fraud Detection - Pre-auth - Decline,The fraud engine evaluated the transaction before authorisation and declined it as high risk.,The fraud engine blocked this payment before authorisation due to high risk signals.
