Field Name	Field Definition	Field Value	Value Definition	AI Summary
Payout ID	Unique identifier for the payout transaction (Base32 encoded Pay ID)			The unique ID for this payout — use this to look up or reference the transaction.
Requested on	The UTC date and time the payout was requested in ISO 8601 format			When the merchant submitted this payout request.
Status	The current status of the payout	Pending	The payout has been initiated and is awaiting processing by the bank or card scheme. Common initial state for both card and bank payouts.	The payout is in progress — awaiting bank or scheme processing.
Status	The current status of the payout	Paid	The payout was successfully delivered to the destination card. Applies to card payouts.	The payout was successfully delivered to the cardholder's card.
Status	The current status of the payout	Approved	The payout was approved and funds have been dispatched to the destination bank account. Applies to bank payouts.	The bank payout was approved and funds are on their way to the recipient.
Status	The current status of the payout	Returned	The bank payout was returned by the receiving bank after funds were dispatched. Applies to bank payouts. See Return action in the timeline for details.	The bank returned this payout — funds were not delivered to the recipient. Check the timeline for the Return action.
Status	The current status of the payout	Declined	The payout was declined by the card scheme or bank.	The payout was declined — funds were not sent to the recipient.
Amount	The original payout amount in minor currency units (e.g. 10000 = £100.00)			The amount sent in this payout.
Currency	Three-letter ISO 4217 currency code the payout was denominated in (e.g. GBP / USD / EUR)			The currency this payout was made in.
Reference	The merchant-assigned reference for this payout			The merchant's own reference for this payout — for example a disbursement or order ID.
Billing descriptor reference	The reference displayed on the payout recipient's bank or card statement			The text the recipient will see on their statement identifying this payout.
Processing channel ID	The unique identifier of the processing channel used to route this payout			The processing channel configuration used for this payout.
Metadata	Arbitrary key-value pairs attached to the payout by the merchant for their own reference. Applies to card payouts only.			Custom data attached by the merchant — for example an internal reference. Card payouts only.
Destination type	The type of account the payout was sent to	card	The payout was sent to a payment card. Applies to card payouts.	Funds were sent to the recipient's card.
Destination type	The type of account the payout was sent to	bank_account	The payout was sent to a bank account. Applies to bank payouts.	Funds were sent to the recipient's bank account.
Destination ID (card payout)	The unique identifier of the stored card instrument used as the payout destination. Applies to card payouts.			The stored card instrument ID for the recipient's card.
Destination card expiry month	The expiration month of the destination card in MM format. Applies to card payouts.			The month the destination card expires.
Destination card expiry year	The expiration year of the destination card in YYYY format. Applies to card payouts.			The year the destination card expires.
Destination scheme	The card scheme of the destination card (e.g. Visa / Mastercard). Applies to card payouts.			The scheme of the card the payout was sent to.
Destination last 4 digits	The last four digits of the destination card number. Applies to card payouts.			The last 4 digits of the card the payout was sent to — used to identify the destination card.
Destination issuer	The name of the bank that issued the destination card. Applies to card payouts.			The issuing bank of the card the payout was sent to.
Destination issuer country	Two-letter ISO country code of the country where the destination card was issued. Applies to card payouts.			The country where the destination card was issued.
Destination account holder name (card payout)	The first and last name of the destination card account holder. Only returned when account holder type is individual. Applies to card payouts.			The name on the destination card account.
Destination ID (bank payout)	The unique identifier of the stored bank account instrument used as the payout destination. Applies to bank payouts.			The stored instrument ID for the recipient's bank account.
Destination bank code	The code identifying the receiving bank. Applies to bank payouts.			The bank code for the receiving bank — used to identify the institution the payout was sent to.
